"","dst","lambda","cr","ol"
"377",7,1010,0.00904761904761905,57.4844360351562
"378",8,1010,0.733323091104624,57.4844360351562
"379",9,1010,0.298515283842795,57.4844360351562
"380",10,1010,0.0869565217391304,57.4844360351562
"381",1,1010,0.0836148312999245,57.4844360351562
"382",2,1010,0.982869127953936,57.4844360351562
"383",3,1010,0.748381374722838,57.4844360351562
"384",4,1010,0.0484328513111465,57.4844360351562
"385",5,1010,0.084623282261886,57.4844360351562
"386",6,1010,0.974877574293956,57.4844360351562
"387",7,1010,0.00723938223938224,57.4844360351562
"388",8,1010,0.73134931741145,57.4844360351562
"389",9,1010,0.29168349974029,57.4844360351562
"390",10,1010,0.0849165113235236,57.4844360351562
"391",1,1010,0.0872360692173361,57.4844360351562
"392",2,1010,0.983746914382227,57.4844360351562
"393",3,1010,0.745349696880083,57.4844360351562
"394",4,1010,0.0395519291937491,57.4844360351562
"395",5,1010,0.0864451748307132,57.4844360351562
"396",6,1010,0.974284093184701,57.4844360351562
"397",7,1010,0.00709219858156028,57.4844360351562
"398",8,1010,0.731797206478987,57.4844360351562
"399",9,1010,0.292580982236155,57.4844360351562
"400",10,1010,0.0859163884914958,57.4844360351562
"401",1,1010,0.0867135100606835,57.4844360351562
"402",2,1010,0.984075398115047,57.4844360351562
"403",3,1010,0.741741564756151,57.4844360351562
"404",4,1010,0.0446048109965636,57.4844360351562
"405",5,1010,0.0877270358044986,57.4844360351562
"406",6,1010,0.974300818838284,57.4844360351562
"407",7,1010,0.00730638090599123,57.4844360351562
"408",8,1010,0.729226978749615,57.4844360351562
"409",9,1010,0.287569252077562,57.4844360351562
"410",10,1010,0.0867912575229648,57.4844360351562
"411",1,1010,0.084630041282947,57.4844360351562
"412",2,1010,0.98258057786586,57.4844360351562
"413",3,1010,0.745504311740295,57.4844360351562
"414",4,1010,0.0478482056922865,57.4844360351562
"415",5,1010,0.0835832833433313,57.4844360351562
"416",6,1010,0.975434301428667,57.4844360351562
"417",7,1010,0.0122488975992161,57.4844360351562
"418",8,1010,0.730021999814086,57.4844360351562
"419",9,1010,0.28936170212766,57.4844360351562
"420",10,1010,0.0846141530579571,57.4844360351562
"421",1,1060,0.0851478842402771,60.3302001953125
"422",2,1060,0.985952399212619,60.3302001953125
"423",3,1060,0.745237393099381,60.3302001953125
"424",4,1060,0.0479275513758272,60.3302001953125
"425",5,1060,0.0855600220698353,60.3302001953125
"426",6,1060,0.977697078234338,60.3302001953125
"427",7,1060,0.00865139949109415,60.3302001953125
"428",8,1060,0.731914762957504,60.3302001953125
"429",9,1060,0.290265277119848,60.3302001953125
"430",10,1060,0.0860291785601015,60.3302001953125
"431",1,1060,0.0877577011860224,60.3302001953125
"432",2,1060,0.985567458389794,60.3302001953125
"433",3,1060,0.747178263047771,60.3302001953125
"434",4,1060,0.0499379224720651,60.3302001953125
"435",5,1060,0.0858312793193925,60.3302001953125
"436",6,1060,0.97669256381798,60.3302001953125
"437",7,1060,0.00910931174089069,60.3302001953125
"438",8,1060,0.732943767974056,60.3302001953125
"439",9,1060,0.286506038154133,60.3302001953125
"440",10,1060,0.0882446260014278,60.3302001953125
"441",1,1060,0.0886543116790349,60.3302001953125
"442",2,1060,0.985559336723639,60.3302001953125
"443",3,1060,0.748565205874562,60.3302001953125
"444",4,1060,0.049864573928745,60.3302001953125
"445",5,1060,0.0876288659793814,60.3302001953125
"446",6,1060,0.976065893072314,60.3302001953125
"447",7,1060,0.00761283306144644,60.3302001953125
"448",8,1060,0.730898635835321,60.3302001953125
"449",9,1060,0.273496685606061,60.3302001953125
"450",10,1060,0.0872504573291975,60.3302001953125
"451",1,1060,0.0862110120942075,60.3302001953125
"452",2,1060,0.985697808535179,60.3302001953125
"453",3,1060,0.741178900165211,60.3302001953125
"454",4,1060,0.0479442699084824,60.3302001953125
"455",5,1060,0.0871938916801836,60.3302001953125
"456",6,1060,0.976742255718981,60.3302001953125
"457",7,1060,0.00888888888888889,60.3302001953125
"458",8,1060,0.733967905302337,60.3302001953125
"459",9,1060,0.294323347709523,60.3302001953125
"460",10,1060,0.0872581668252458,60.3302001953125
"461",1,1060,0.0851776528292858,60.3302001953125
"462",2,1060,0.985452503700679,60.3302001953125
"463",3,1060,0.741408934707904,60.3302001953125
"464",4,1060,0.0446134868421053,60.3302001953125
"465",5,1060,0.0852562062380649,60.3302001953125
"466",6,1060,0.975977764542386,60.3302001953125
"467",7,1060,0.00638297872340425,60.3302001953125
"468",8,1060,0.738118449914697,60.3302001953125
"469",9,1060,0.278256221417117,60.3302001953125
"470",10,1060,0.0841262889676315,60.3302001953125
"471",1,1060,0.0851807707588399,60.3302001953125
"472",2,1060,0.985900689584455,60.3302001953125
"473",3,1060,0.750284298002624,60.3302001953125
"474",4,1060,0.0466699417502983,60.3302001953125
"475",5,1060,0.0852169085573797,60.3302001953125
"476",6,1060,0.977594886401272,60.3302001953125
"477",7,1060,0.0106815869786368,60.3302001953125
"478",8,1060,0.729585339338407,60.3302001953125
"479",9,1060,0.284636528451956,60.3302001953125
"480",10,1060,0.0856699060060538,60.3302001953125
"481",1,1060,0.0871385684942329,60.3302001953125
"482",2,1060,0.984798371708434,60.3302001953125
"483",3,1060,0.743100673541157,60.3302001953125
"484",4,1060,0.0469506292352372,60.3302001953125
"485",5,1060,0.0871829263481794,60.3302001953125
"486",6,1060,0.978116348082694,60.3302001953125
"487",7,1060,0.00725388601036269,60.3302001953125
"488",8,1060,0.741100520722312,60.3302001953125
"489",9,1060,0.285893229943334,60.3302001953125
"490",10,1060,0.0883526205616336,60.3302001953125
"491",1,1060,0.0874366687777074,60.3302001953125
"492",2,1060,0.984635443296861,60.3302001953125
"493",3,1060,0.746333147173804,60.3302001953125
"494",4,1060,0.0484193126248364,60.3302001953125
"495",5,1060,0.0879382055852644,60.3302001953125
"496",6,1060,0.976956002389011,60.3302001953125
"497",7,1060,0.00501504513540622,60.3302001953125
"498",8,1060,0.730007066269317,60.3302001953125
"499",9,1060,0.28727634194831,60.3302001953125
"500",10,1060,0.089782668936305,60.3302001953125
"501",1,1060,0.0888643358850919,60.3302001953125
"502",2,1060,0.985223631936435,60.3302001953125
"503",3,1060,0.755892305428866,60.3302001953125
"504",4,1060,0.0465278261475239,60.3302001953125
"505",5,1060,0.0899131543303322,60.3302001953125
"506",6,1060,0.976518446248739,60.3302001953125
"507",7,1060,0.0101626016260163,60.3302001953125
"508",8,1060,0.736790184351686,60.3302001953125
"509",9,1060,0.28363999764858,60.3302001953125
"510",10,1060,0.0881443298969072,60.3302001953125
"511",1,1060,0.0869687024733851,60.3302001953125
"512",2,1060,0.984428999062143,60.3302001953125
"513",3,1060,0.745717391943114,60.3302001953125
"514",4,1060,0.0474928516632959,60.3302001953125
"515",5,1060,0.0839803517667565,60.3302001953125
"516",6,1060,0.976013412569304,60.3302001953125
"517",7,1060,0.00839506172839506,60.3302001953125
"518",8,1060,0.727390539664908,60.3302001953125
"519",9,1060,0.294148594142749,60.3302001953125
"520",10,1060,0.0840681719324608,60.3302001953125
"521",1,1060,0.0857831325301205,60.3302001953125
"522",2,1060,0.985871311949605,60.3302001953125
"523",3,1060,0.7460266165281,60.3302001953125
"524",4,1060,0.0472972972972973,60.3302001953125
"525",5,1060,0.0854417750818102,60.3302001953125
"526",6,1060,0.977731315544936,60.3302001953125
"527",7,1060,0.009375,60.3302001953125
"528",8,1060,0.731265990567492,60.3302001953125
"529",9,1060,0.280042412818096,60.3302001953125
"530",10,1060,0.0846635116708109,60.3302001953125
"531",1,1060,0.0879872712808274,60.3302001953125
"532",2,1060,0.985433357611071,60.3302001953125
"533",3,1060,0.746532305868405,60.3302001953125
"534",4,1060,0.0462924462924463,60.3302001953125
"535",5,1060,0.0867229165008358,60.3302001953125
"536",6,1060,0.97715635426646,60.3302001953125
"537",7,1060,0.00575614861329147,60.3302001953125
"538",8,1060,0.738239247311828,60.3302001953125
"539",9,1060,0.278644592663173,60.3302001953125
"540",10,1060,0.0875976059296841,60.3302001953125
"541",1,1060,0.0891377111890341,60.3302001953125
"542",2,1060,0.985693079443079,60.3302001953125
"543",3,1060,0.74854762044481,60.3302001953125
"544",4,1060,0.0488603889314839,60.3302001953125
"545",5,1060,0.0881468586801709,60.3302001953125
"546",6,1060,0.976654275092937,60.3302001953125
"547",7,1060,0.0078003120124805,60.3302001953125
"548",8,1060,0.733762038091136,60.3302001953125
"549",9,1060,0.284267545925577,60.3302001953125
"550",10,1060,0.0888906605014549,60.3302001953125
"551",1,1060,0.0864080357495947,60.3302001953125
"552",2,1060,0.985146676568882,60.3302001953125
"553",3,1060,0.744764205131226,60.3302001953125
"554",4,1060,0.0454229754132518,60.3302001953125
"555",5,1060,0.0851611370654842,60.3302001953125
"556",6,1060,0.978452286018076,60.3302001953125
"557",7,1060,0.00680272108843537,60.3302001953125
"558",8,1060,0.732401320865352,60.3302001953125
"559",9,1060,0.277797471345858,60.3302001953125
"560",10,1060,0.0845634920634921,60.3302001953125
"561",1,1060,0.0864041163665149,60.3302001953125
"562",2,1060,0.984704099455461,60.3302001953125
"563",3,1060,0.744315177154944,60.3302001953125
"564",4,1060,0.051562173822281,60.3302001953125
"565",5,1060,0.0869169240516354,60.3302001953125
"566",6,1060,0.977619532044761,60.3302001953125
"567",7,1060,0.0109072880515617,60.3302001953125
"568",8,1060,0.729770708914813,60.3302001953125
"569",9,1060,0.289542674046024,60.3302001953125
"570",10,1060,0.0870277178688394,60.3302001953125
"571",1,1060,0.0865003958828187,60.3302001953125
"572",2,1060,0.984213573496301,60.3302001953125
"573",3,1060,0.746648754417219,60.3302001953125
"574",4,1060,0.047914200153214,60.3302001953125
"575",5,1060,0.0871784646061814,60.3302001953125
"576",6,1060,0.977417755000827,60.3302001953125
"577",7,1060,0.0105105105105105,60.3302001953125
"578",8,1060,0.73128486454834,60.3302001953125
"579",9,1060,0.291834471487772,60.3302001953125
"580",10,1060,0.087240568856312,60.3302001953125
"581",1,1060,0.0887717072397114,60.3302001953125
"582",2,1060,0.985215605749487,60.3302001953125
"583",3,1060,0.747844701190546,60.3302001953125
"584",4,1060,0.0522844049437578,60.3302001953125
"585",5,1060,0.0872625742262771,60.3302001953125
"586",6,1060,0.977672778092037,60.3302001953125
"587",7,1060,0.00927734375,60.3302001953125
"588",8,1060,0.732922905580992,60.3302001953125
"589",9,1060,0.296298448486257,60.3302001953125
"590",10,1060,0.0884404682142435,60.3302001953125
"591",1,1060,0.0854636392505557,60.3302001953125
"592",2,1060,0.98501723339678,60.3302001953125
"593",3,1060,0.742537975057628,60.3302001953125
"594",4,1060,0.0464633893383116,60.3302001953125
"595",5,1060,0.086691378691857,60.3302001953125
"596",6,1060,0.97707072223056,60.3302001953125
"597",7,1060,0.00493339911198816,60.3302001953125
"598",8,1060,0.732390895931504,60.3302001953125
"599",9,1060,0.291964809384164,60.3302001953125
"600",10,1060,0.0856386342080303,60.3302001953125
"601",1,1060,0.0849984015345269,60.3302001953125
"602",2,1060,0.98564152440429,60.3302001953125
"603",3,1060,0.748111127443775,60.3302001953125
"604",4,1060,0.0482960485051223,60.3302001953125
"605",5,1060,0.0831905653611698,60.3302001953125
