"","src","lambda","dr","ol"
"461",1,1060,0.633932499528628,60.3302001953125
"462",2,1060,0.940649354747105,60.3302001953125
"463",3,1060,0.641202838998879,60.3302001953125
"464",4,1060,0.400809587556576,60.3302001953125
"465",5,1060,0.635480218881691,60.3302001953125
"466",6,1060,0.902751363002409,60.3302001953125
"467",7,1060,0.208841749577623,60.3302001953125
"468",8,1060,0.625326905504616,60.3302001953125
"469",9,1060,0.427602662313199,60.3302001953125
"470",10,1060,0.634500346325798,60.3302001953125
"471",1,1060,0.635543683218102,60.3302001953125
"472",2,1060,0.938031362176459,60.3302001953125
"473",3,1060,0.648913827152754,60.3302001953125
"474",4,1060,0.406049524281774,60.3302001953125
"475",5,1060,0.632431572246976,60.3302001953125
"476",6,1060,0.904572875316475,60.3302001953125
"477",7,1060,0.213051464865033,60.3302001953125
"478",8,1060,0.621937865657166,60.3302001953125
"479",9,1060,0.43655427889747,60.3302001953125
"480",10,1060,0.632115360343304,60.3302001953125
"481",1,1060,0.63260249051159,60.3302001953125
"482",2,1060,0.939302544769086,60.3302001953125
"483",3,1060,0.642917408830974,60.3302001953125
"484",4,1060,0.409171242820173,60.3302001953125
"485",5,1060,0.631615467104018,60.3302001953125
"486",6,1060,0.90464984939759,60.3302001953125
"487",7,1060,0.205875848996999,60.3302001953125
"488",8,1060,0.631733349978154,60.3302001953125
"489",9,1060,0.429737193211083,60.3302001953125
"490",10,1060,0.633064895183781,60.3302001953125
"491",1,1060,0.636141712568853,60.3302001953125
"492",2,1060,0.937118013987776,60.3302001953125
"493",3,1060,0.641641988532544,60.3302001953125
"494",4,1060,0.403876457611094,60.3302001953125
"495",5,1060,0.629045616717635,60.3302001953125
"496",6,1060,0.900900050352467,60.3302001953125
"497",7,1060,0.210413027202396,60.3302001953125
"498",8,1060,0.623864172299953,60.3302001953125
"499",9,1060,0.432228204401625,60.3302001953125
"500",10,1060,0.63119330076762,60.3302001953125
"501",1,1060,0.636283185840708,60.3302001953125
"502",2,1060,0.938180562964823,60.3302001953125
"503",3,1060,0.643673124471848,60.3302001953125
"504",4,1060,0.404763400992899,60.3302001953125
"505",5,1060,0.630852869084281,60.3302001953125
"506",6,1060,0.906615640390226,60.3302001953125
"507",7,1060,0.209198157844931,60.3302001953125
"508",8,1060,0.622871426339634,60.3302001953125
"509",9,1060,0.431928127159641,60.3302001953125
"510",10,1060,0.637095515960932,60.3302001953125
"511",1,1060,0.631830985915493,60.3302001953125
"512",2,1060,0.936199678952504,60.3302001953125
"513",3,1060,0.643956670467503,60.3302001953125
"514",4,1060,0.408581682009674,60.3302001953125
"515",5,1060,0.638730138792941,60.3302001953125
"516",6,1060,0.902673192771084,60.3302001953125
"517",7,1060,0.210833123266952,60.3302001953125
"518",8,1060,0.624479052423777,60.3302001953125
"519",9,1060,0.429635474199148,60.3302001953125
"520",10,1060,0.639191486682199,60.3302001953125
"521",1,1060,0.635173000031483,60.3302001953125
"522",2,1060,0.939851035864055,60.3302001953125
"523",3,1060,0.650796114094168,60.3302001953125
"524",4,1060,0.405101369347915,60.3302001953125
"525",5,1060,0.638851148535499,60.3302001953125
"526",6,1060,0.901799810546258,60.3302001953125
"527",7,1060,0.209286231086225,60.3302001953125
"528",8,1060,0.625603107964158,60.3302001953125
"529",9,1060,0.42963920777091,60.3302001953125
"530",10,1060,0.638327177111375,60.3302001953125
"531",1,1060,0.635162633440816,60.3302001953125
"532",2,1060,0.939831414732339,60.3302001953125
"533",3,1060,0.640381418399674,60.3302001953125
"534",4,1060,0.40444612858406,60.3302001953125
"535",5,1060,0.632726929371774,60.3302001953125
"536",6,1060,0.906676306028792,60.3302001953125
"537",7,1060,0.209382980735883,60.3302001953125
"538",8,1060,0.620376565038708,60.3302001953125
"539",9,1060,0.42766921994685,60.3302001953125
"540",10,1060,0.635000789016885,60.3302001953125
"541",1,1060,0.634705053982162,60.3302001953125
"542",2,1060,0.939442556939726,60.3302001953125
"543",3,1060,0.644304791830322,60.3302001953125
"544",4,1060,0.402168447517285,60.3302001953125
"545",5,1060,0.641126514299987,60.3302001953125
"546",6,1060,0.904631552451073,60.3302001953125
"547",7,1060,0.21208133596516,60.3302001953125
"548",8,1060,0.621548525064469,60.3302001953125
"549",9,1060,0.428728760226558,60.3302001953125
"550",10,1060,0.631918848250008,60.3302001953125
"551",1,1060,0.635394790458578,60.3302001953125
"552",2,1060,0.939920228636035,60.3302001953125
"553",3,1060,0.641831181979246,60.3302001953125
"554",4,1060,0.409977564502057,60.3302001953125
"555",5,1060,0.637079455977094,60.3302001953125
"556",6,1060,0.902335456475584,60.3302001953125
"557",7,1060,0.209185764271979,60.3302001953125
"558",8,1060,0.621684150476975,60.3302001953125
"559",9,1060,0.430360927466549,60.3302001953125
"560",10,1060,0.631184690922825,60.3302001953125
"561",1,1060,0.640774274118014,60.3302001953125
"562",2,1060,0.936256866830839,60.3302001953125
"563",3,1060,0.647268595954177,60.3302001953125
"564",4,1060,0.410196372264369,60.3302001953125
"565",5,1060,0.641306717324281,60.3302001953125
"566",6,1060,0.898071098358042,60.3302001953125
"567",7,1060,0.208672683248954,60.3302001953125
"568",8,1060,0.62203180826509,60.3302001953125
"569",9,1060,0.433370165745856,60.3302001953125
"570",10,1060,0.632439543916802,60.3302001953125
"571",1,1060,0.639080459770115,60.3302001953125
"572",2,1060,0.936770889317442,60.3302001953125
"573",3,1060,0.643528629759757,60.3302001953125
"574",4,1060,0.403781945267888,60.3302001953125
"575",5,1060,0.632578386221689,60.3302001953125
"576",6,1060,0.902881302849984,60.3302001953125
"577",7,1060,0.207159904534606,60.3302001953125
"578",8,1060,0.625835327759301,60.3302001953125
"579",9,1060,0.433102454006958,60.3302001953125
"580",10,1060,0.635562386299479,60.3302001953125
"581",1,1060,0.627630288263772,60.3302001953125
"582",2,1060,0.934439860564777,60.3302001953125
"583",3,1060,0.64446974008727,60.3302001953125
"584",4,1060,0.406268609935747,60.3302001953125
"585",5,1060,0.637688426462753,60.3302001953125
"586",6,1060,0.899996837344635,60.3302001953125
"587",7,1060,0.212939698492462,60.3302001953125
"588",8,1060,0.624718609304652,60.3302001953125
"589",9,1060,0.432183252542534,60.3302001953125
"590",10,1060,0.636696272204153,60.3302001953125
"591",1,1060,0.638171656935902,60.3302001953125
"592",2,1060,0.936263114908588,60.3302001953125
"593",3,1060,0.646268516488679,60.3302001953125
"594",4,1060,0.406010290728874,60.3302001953125
"595",5,1060,0.633307197741885,60.3302001953125
"596",6,1060,0.899016268186304,60.3302001953125
"597",7,1060,0.206078506097561,60.3302001953125
"598",8,1060,0.627060525984648,60.3302001953125
"599",9,1060,0.434901308563718,60.3302001953125
"600",10,1060,0.640050180335581,60.3302001953125
"601",1,1060,0.635516072325465,60.3302001953125
"602",2,1060,0.938608798678016,60.3302001953125
"603",3,1060,0.641491576755631,60.3302001953125
"604",4,1060,0.399842321034374,60.3302001953125
"605",5,1060,0.638949740251612,60.3302001953125
"606",6,1060,0.905020654591675,60.3302001953125
"607",7,1060,0.205921176692438,60.3302001953125
"608",8,1060,0.619981000633312,60.3302001953125
"609",9,1060,0.431567776772059,60.3302001953125
"610",10,1060,0.639356575076673,60.3302001953125
"611",1,1060,0.636574873614469,60.3302001953125
"612",2,1060,0.938701658327827,60.3302001953125
"613",3,1060,0.636998420221169,60.3302001953125
"614",4,1060,0.402276557184191,60.3302001953125
"615",5,1060,0.6368064445624,60.3302001953125
"616",6,1060,0.901343461610898,60.3302001953125
"617",7,1060,0.210998877665544,60.3302001953125
"618",8,1060,0.624589542813842,60.3302001953125
"619",9,1060,0.426178541970687,60.3302001953125
"620",10,1060,0.634595411198187,60.3302001953125
"621",1,1060,0.628212905903764,60.3302001953125
"622",2,1060,0.937551046051392,60.3302001953125
"623",3,1060,0.6466875,60.3302001953125
"624",4,1060,0.408841330255194,60.3302001953125
"625",5,1060,0.635293006266335,60.3302001953125
"626",6,1060,0.90246835443038,60.3302001953125
"627",7,1060,0.206523448557859,60.3302001953125
"628",8,1060,0.620601346865219,60.3302001953125
"629",9,1060,0.426994212380473,60.3302001953125
"630",10,1060,0.629100696643445,60.3302001953125
"631",1,110,0.00360576923076923,6.26068115234375
"632",2,110,0.00641221374045802,6.26068115234375
"633",3,110,0.00272644653135414,6.26068115234375
"634",4,110,0.000315357931251971,6.26068115234375
"635",5,110,0.00335059396893086,6.26068115234375
"636",6,110,0.00363636363636364,6.26068115234375
"637",7,110,0.000611620795107034,6.26068115234375
"638",8,110,0.0029708853238265,6.26068115234375
"639",9,110,0.00206978119455943,6.26068115234375
"640",10,110,0.00339506172839506,6.26068115234375
"641",1,110,0.00268897520167314,6.26068115234375
"642",2,110,0.00670118793786171,6.26068115234375
