"","dst","lambda","cr","ol"
"419",9,1010,0.763334102978527,57.4844360351562
"420",10,1010,0.266634848665633,57.4844360351562
"421",1,1060,0.229372019077901,60.3302001953125
"422",2,1060,0.993095953461612,60.3302001953125
"423",3,1060,0.850225723643445,60.3302001953125
"424",4,1060,0.332990679824561,60.3302001953125
"425",5,1060,0.285139602501294,60.3302001953125
"426",6,1060,0.990074524058491,60.3302001953125
"427",7,1060,0.941483803552769,60.3302001953125
"428",8,1060,0.878720283566583,60.3302001953125
"429",9,1060,0.757547280629625,60.3302001953125
"430",10,1060,0.271807383114026,60.3302001953125
"431",1,1060,0.225652731058786,60.3302001953125
"432",2,1060,0.992985061252704,60.3302001953125
"433",3,1060,0.849210557322965,60.3302001953125
"434",4,1060,0.326687116564417,60.3302001953125
"435",5,1060,0.282886892933789,60.3302001953125
"436",6,1060,0.991148535530176,60.3302001953125
"437",7,1060,0.938743455497382,60.3302001953125
"438",8,1060,0.879674946901838,60.3302001953125
"439",9,1060,0.756627218934911,60.3302001953125
"440",10,1060,0.268606870229008,60.3302001953125
"441",1,1060,0.234879949369091,60.3302001953125
"442",2,1060,0.992623328722914,60.3302001953125
"443",3,1060,0.851231875515737,60.3302001953125
"444",4,1060,0.330638474295191,60.3302001953125
"445",5,1060,0.286940092891443,60.3302001953125
"446",6,1060,0.990264648713306,60.3302001953125
"447",7,1060,0.93875551200392,60.3302001953125
"448",8,1060,0.879742745484199,60.3302001953125
"449",9,1060,0.756903496993403,60.3302001953125
"450",10,1060,0.268760356663773,60.3302001953125
"451",1,1060,0.226427887683472,60.3302001953125
"452",2,1060,0.993199805342827,60.3302001953125
"453",3,1060,0.849946821082486,60.3302001953125
"454",4,1060,0.331241379310345,60.3302001953125
"455",5,1060,0.281374740539677,60.3302001953125
"456",6,1060,0.990312484475135,60.3302001953125
"457",7,1060,0.954335556695741,60.3302001953125
"458",8,1060,0.880702505889912,60.3302001953125
"459",9,1060,0.758141452211295,60.3302001953125
"460",10,1060,0.264482827079611,60.3302001953125
"461",1,1060,0.226013299556681,60.3302001953125
"462",2,1060,0.992724333063864,60.3302001953125
"463",3,1060,0.852255738281594,60.3302001953125
"464",4,1060,0.328592344697762,60.3302001953125
"465",5,1060,0.283071303795458,60.3302001953125
"466",6,1060,0.991187886258766,60.3302001953125
"467",7,1060,0.942989214175655,60.3302001953125
"468",8,1060,0.877330350484713,60.3302001953125
"469",9,1060,0.752414398595259,60.3302001953125
"470",10,1060,0.266816585789245,60.3302001953125
"471",1,1060,0.226723383954838,60.3302001953125
"472",2,1060,0.992583388840498,60.3302001953125
"473",3,1060,0.852776392596286,60.3302001953125
"474",4,1060,0.328301099206901,60.3302001953125
"475",5,1060,0.283196052683936,60.3302001953125
"476",6,1060,0.990520933629935,60.3302001953125
"477",7,1060,0.945171026156942,60.3302001953125
"478",8,1060,0.879502798305556,60.3302001953125
"479",9,1060,0.755218658892128,60.3302001953125
"480",10,1060,0.269281097585154,60.3302001953125
"481",1,1060,0.22565282958965,60.3302001953125
"482",2,1060,0.992813483031124,60.3302001953125
"483",3,1060,0.849543004452777,60.3302001953125
"484",4,1060,0.328445340190423,60.3302001953125
"485",5,1060,0.283482409063804,60.3302001953125
"486",6,1060,0.991292998050425,60.3302001953125
"487",7,1060,0.944073884043099,60.3302001953125
"488",8,1060,0.878981282602025,60.3302001953125
"489",9,1060,0.754365335998589,60.3302001953125
"490",10,1060,0.272322139105523,60.3302001953125
"491",1,1060,0.225779510022272,60.3302001953125
"492",2,1060,0.992958197298508,60.3302001953125
"493",3,1060,0.849374355954659,60.3302001953125
"494",4,1060,0.327319587628866,60.3302001953125
"495",5,1060,0.283438221938979,60.3302001953125
"496",6,1060,0.990765411667356,60.3302001953125
"497",7,1060,0.949974476773864,60.3302001953125
"498",8,1060,0.880803242446573,60.3302001953125
"499",9,1060,0.755405405405405,60.3302001953125
"500",10,1060,0.269963181440279,60.3302001953125
"501",1,1060,0.227507755946225,60.3302001953125
"502",2,1060,0.993032118980097,60.3302001953125
"503",3,1060,0.847568910445995,60.3302001953125
"504",4,1060,0.332761106914784,60.3302001953125
"505",5,1060,0.278010283391128,60.3302001953125
"506",6,1060,0.990732619524385,60.3302001953125
"507",7,1060,0.943211151264843,60.3302001953125
"508",8,1060,0.881089655593179,60.3302001953125
"509",9,1060,0.758224852071006,60.3302001953125
"510",10,1060,0.265499722156069,60.3302001953125
"511",1,1060,0.227245687091017,60.3302001953125
"512",2,1060,0.993085466699045,60.3302001953125
"513",3,1060,0.851537645811241,60.3302001953125
"514",4,1060,0.331495568427664,60.3302001953125
"515",5,1060,0.287295211090107,60.3302001953125
"516",6,1060,0.990167516387473,60.3302001953125
"517",7,1060,0.941594718131031,60.3302001953125
"518",8,1060,0.880209295167744,60.3302001953125
"519",9,1060,0.757315783288283,60.3302001953125
"520",10,1060,0.270594286618659,60.3302001953125
"521",1,1060,0.229235615455162,60.3302001953125
"522",2,1060,0.993080961733482,60.3302001953125
"523",3,1060,0.848475854085661,60.3302001953125
